run_id,phase,scale,seed,eta0,lambda,metric_update,train_variant,status,cached,wall_seconds,train_accepted,validation_accepted,best_best_epoch,best_selection_loss,validation_relative_regret,validation_mean_regret,validation_exact_match,validation_edge_f1,validation_edge_jaccard,best_epoch_train_relative_regret,avg_epoch_ms,avg_train_oracle_ms,avg_customization_ms,avg_changed_pct,avg_update_customization_ms,avg_update_changed_pct,relative_regret_gap,mean_regret_gap,best_peak_rss_kib,best_q_p05,best_q_median,best_q_p95,adam_learning_rate,best_best_q_at_max,best_best_q_at_min,best_best_q_max,best_best_q_min,best_best_regularization,best_best_train_regret,best_epoch_changed_pct,best_epoch_count_residual_l1,best_epoch_current_max_quantization_error,best_epoch_customization_ms,best_epoch_train_oracle_ms,best_q_p25,best_q_p75,best_train_regret_improvement_pct,cache_hit_last_invocation,checkpoint_path,config_metric_update,config_run_test,config_selection_metric,config_solver,epochs,epochs_executed,error,log_path,patience,returncode,solver,train_available,train_cyclic,train_inspected,validation_available,validation_cyclic,validation_edge_precision,validation_edge_recall,validation_inspected,validation_samples
grid_e1m6_l1e9,grid_1pct,1pct,42,1e-6,1e9,full,scale_1pct_seed42,ok,False,6.504001075000815,6147,15812,19,0.09166792764,0.09166793,627972.997217,0.32507,0.590538,0.517645,0.08439793,257.72355,67.96340000000001,12.7361,24.99812,13.406421052631579,26.31381052631579,0.007269999999999999,56161.35348799999,63000,0.9991012242548403,1.0,1.000771064014053,,0,0,1.039243,0.945697,1142.961355,571811.643729,0.0,115809,0.499984,0.0,73.42,1.0,1.0,4.014,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m6_l1e9/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e1m6_l1e9/model_training.log,5,0,,7857,1710,7857,20000,4188,0.600756,0.587509,20000,15812
grid_e3m5_l1e5,grid_1pct,1pct,42,3e-5,1e5,full,scale_1pct_seed42,ok,False,6.357568057000208,6147,15812,19,0.075489389529,0.07548939,495344.484632,0.334809,0.63621,0.55922,0.06472843,255.3161,65.54245,13.75825,29.910540000000005,14.482368421052632,31.484778947368426,0.01076096,76410.39092799998,63076,0.9788842105046482,1.0,1.0133001235733428,,0,0,1.288533,0.446054,20.282534,418934.093704,0.0,63856,0.499984,0.0,64.32,1.0,1.0,29.676,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m5_l1e5/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m5_l1e5/model_training.log,5,0,,7857,1710,7857,20000,4188,0.650056,0.630223,20000,15812
grid_e3m5_l1e7,grid_1pct,1pct,42,3e-5,1e7,full,scale_1pct_seed42,ok,False,6.455794305000381,6147,15812,19,0.075679948935,0.07567995,496854.849102,0.331584,0.633288,0.555929,0.06494775,260.8166,68.1143,13.3987,32.689875,14.103894736842104,34.41039473684211,0.010732199999999997,76288.48534700001,63052,0.9791932781696936,1.0,1.01319192149854,,0,0,1.283913,0.452786,1984.857682,420566.363755,0.0,65731,0.499995,0.0,67.944,1.0,1.0,29.402,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m5_l1e7/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m5_l1e7/model_training.log,5,0,,7857,1710,7857,20000,4188,0.647423,0.627197,20000,15812
grid_e3m5_l1e9,grid_1pct,1pct,42,3e-5,1e9,full,scale_1pct_seed42,ok,False,6.3306937710003695,6147,15812,19,0.082649584651,0.08264958,556743.995952,0.322287,0.606686,0.530971,0.07394674,253.39115,66.42555,13.30295,31.274115000000002,14.003105263157893,32.92012105263158,0.008702840000000003,64609.36605100002,62980,0.9924216284684628,1.0,1.005393322327349,,0,0,1.169856,0.737849,37853.722482,492134.629901,0.0,91916,0.499992,0.0,68.896,1.0,1.0,17.389,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m5_l1e9/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m5_l1e9/model_training.log,5,0,,7857,1710,7857,20000,4188,0.618558,0.602418,20000,15812
grid_e3m6_l1e5,grid_1pct,1pct,42,3e-6,1e5,full,scale_1pct_seed42,ok,False,6.392822325999987,6147,15812,19,0.087817434311,0.08781743,597631.092525,0.321718,0.597895,0.523497,0.08006309,254.83245000000002,62.6991,12.9937,27.738795,13.677578947368422,29.198731578947367,0.0077543399999999985,58891.235683999956,62160,0.997330921549962,1.0,1.0022276985596905,,0,0,1.091277,0.855144,0.834794,538739.856841,0.0,102216,0.499993,0.0,68.008,1.0,1.0,9.565,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m6_l1e5/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m6_l1e5/model_training.log,5,0,,7857,1710,7857,20000,4188,0.609106,0.593947,20000,15812
grid_e3m6_l1e7,grid_1pct,1pct,42,3e-6,1e7,full,scale_1pct_seed42,ok,False,6.299280518999694,6147,15812,19,0.087824400182,0.0878244,597685.719327,0.321718,0.597891,0.523508,0.08007073,253.40675000000002,63.989,13.020249999999999,27.789935000000003,13.705526315789472,29.25256315789474,0.00775366999999999,58887.42861599999,63020,0.9973371405388187,1.0,1.0022220314781998,,0,0,1.091141,0.855352,83.261428,538798.290711,0.0,101942,0.499972,0.0,67.433,1.0,1.0,9.556,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m6_l1e7/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m6_l1e7/model_training.log,5,0,,7857,1710,7857,20000,4188,0.609011,0.59401,20000,15812
grid_e3m6_l1e9,grid_1pct,1pct,42,3e-6,1e9,full,scale_1pct_seed42,ok,False,6.361745123999754,6147,15812,19,0.088477902397,0.0884779,602922.829307,0.32722,0.598313,0.524895,0.08079745,254.95704999999998,67.07315,14.182300000000001,28.036630000000002,14.928736842105264,29.51224210526316,0.0076804499999999915,58501.11123300006,63000,0.9976605584153728,1.0,1.0019530873705802,,0,0,1.079695,0.873903,6423.947325,544421.718074,0.0,103277,0.499998,0.0,66.765,1.0,1.0,8.612,True,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m6_l1e9/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/grid_1pct/grid_e3m6_l1e9/model_training.log,5,0,,7857,1710,7857,20000,4188,0.609133,0.594605,20000,15812
legacy_adam_s42,legacy_ablation,1pct,42,1e-5,0,full,scale_1pct_seed42,ok,False,5.243831361999582,6147,15812,19,0.072509785008,0.07250979,482642.360612,0.318682,0.642682,0.563419,0.05256601,204.88739999999999,48.6928,11.27705,40.15778,11.87057894736842,42.271347368421054,0.01994378,139983.25340499997,64556,0.6993358685410391,1.0,1.6787418620799315,3000,16,1337,65.197107,1.8e-05,0.0,342659.107207,0.0,51917,0.0,0.0,50.803,1.0,1.025269635217641,42.48,True,/tmp/edge-weight-scale-study/runs/legacy_ablation/legacy_adam_s42/model_checkpoint.json,Full,false,RelativeRegret,LegacyAdamShock,20,20,,/tmp/edge-weight-scale-study/runs/legacy_ablation/legacy_adam_s42/model_training.log,5,0,adam-shock,7857,1710,7857,20000,4188,0.652679,0.640349,20000,15812
top_e1m4_l1e5_s43,multiseed_1pct,1pct,43,1e-4,1e5,full,scale_1pct_seed43,ok,False,6.337055347000387,6243,15812,18,0.071733746853,0.07173375,447241.996838,0.327536,0.646508,0.56739,0.06098391,251.92964999999998,65.328,13.1638,31.404445,13.856631578947368,33.05731052631579,0.010749839999999997,72655.27891400002,62964,0.9447748670339092,1.0,1.0280450501477445,,0,0,1.447006,0.103105,86.506522,374586.717924,31.4056,63669,0.49998,16.375,62.664,1.0,1.0,41.981,True,/tmp/edge-weight-scale-study/runs/multiseed_1pct/top_e1m4_l1e5_s43/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/multiseed_1pct/top_e1m4_l1e5_s43/model_training.log,5,0,,7857,1614,7857,20000,4188,0.658128,0.643344,20000,15812
top_e1m4_l1e5_s44,multiseed_1pct,1pct,44,1e-4,1e5,full,scale_1pct_seed44,ok,False,6.308812110999497,6234,15812,18,0.072843642487,0.07284364,455673.929357,0.329117,0.643204,0.564136,0.06118812,254.4133,66.2875,13.6114,31.177305,14.327789473684211,32.81821578947368,0.011655520000000003,78387.84321600001,63068,0.9464742213416293,1.0,1.0271750941749267,,0,1,1.501705,0.1,79.989445,377286.086141,31.0217,61276,0.5,14.018,60.12,1.0,1.0,39.693,True,/tmp/edge-weight-scale-study/runs/multiseed_1pct/top_e1m4_l1e5_s44/model_checkpoint.json,Full,false,RelativeRegret,ProjectedSubgradient,20,20,,/tmp/edge-weight-scale-study/runs/multiseed_1pct/top_e1m4_l1e5_s44/model_training.log,5,0,,7857,1623,7857,20000,4188,0.655286,0.63969,20000,15812
