run_id,phase,train_variant,eta0,lambda,epoch,validation_relative_regret,validation_edge_f1,validation_exact_match,is_new_prefix_best,prefix_best_epoch,prefix_best_relative_regret,stale_evaluations,early_stop_here,current_q_min,current_q_max,q_boundary_pct,event_has_nonfinite,current_q_at_max,current_q_at_min,epoch_ms,event_nonfinite_fields,logged_best_marker,prefix_best_edge_f1,prefix_best_exact_match,projected_edges,q_boundary_count,selection_loss,update_status,validation_edge_jaccard
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,59,0.06532172,0.670518,0.361621,True,59,0.06532172,0,False,0.1,1.503802,0.0013858861355950994,False,0,1,3015.44,,True,0.670518,0.361621,1,1,0.065321715443,applied,0.595495
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,64,0.06521325,0.674954,0.368642,True,64,0.06521325,0,False,0.1,1.505874,0.0013858861355950994,False,0,1,3124.974,,True,0.674954,0.368642,1,1,0.065213249287,applied,0.600975
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,69,0.06488329,0.675029,0.366612,True,69,0.06488329,0,False,0.1,1.507893,0.0013858861355950994,False,0,1,3157.781,,True,0.675029,0.366612,0,1,0.064883293153,applied,0.60071
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,74,0.0648394,0.672516,0.361752,True,74,0.0648394,0,False,0.1,1.513387,0.002771772271190199,False,0,2,3082.738,,True,0.672516,0.361752,1,2,0.06483940103,applied,0.597355
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,79,0.06464792,0.676576,0.371781,True,79,0.06464792,0,False,0.1,1.516398,0.0013858861355950994,False,0,1,3061.476,,True,0.676576,0.371781,2,1,0.064647922437,applied,0.602669
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,84,0.06457173,0.675222,0.366441,True,84,0.06457173,0,False,0.1,1.526894,0.002771772271190199,False,0,2,2933.688,,True,0.675222,0.366441,2,2,0.064571726527,applied,0.600637
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,89,0.06443802,0.677751,0.373401,True,89,0.06443802,0,False,0.1,1.535862,0.002771772271190199,False,0,2,2980.193,,True,0.677751,0.373401,1,2,0.064438023282,applied,0.604109
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,94,0.06439223,0.675871,0.369123,True,94,0.06439223,0,False,0.1,1.541294,0.0013858861355950994,False,0,1,3043.805,,True,0.675871,0.369123,1,1,0.064392230197,applied,0.601694
conv_10pct_eta1e4,convergence_10pct,scale_10pct_seed42,0.0001,100000,99,0.06430115,0.676683,0.369115,True,99,0.06430115,0,False,0.1,1.54668,0.002771772271190199,False,0,2,3036.869,,True,0.676683,0.369115,,2,0.064301146471,final_skipped,0.602539
conv_10pct_eta3e4,convergence_10pct,scale_10pct_seed42,0.0003,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3450.116,,True,0.591144,0.337542,68,0,0.093522778359,applied,0.521204
