run_id,phase,scale,seed,eta0,lambda,metric_update,train_variant,status,cached,wall_seconds,train_accepted,validation_accepted,best_best_epoch,best_selection_loss,validation_relative_regret,validation_mean_regret,validation_exact_match,validation_edge_f1,validation_edge_jaccard,best_epoch_train_relative_regret,best_train_regret,best_q_min,best_q_max,avg_epoch_ms,avg_train_oracle_ms,avg_customization_ms,avg_changed_pct,avg_update_customization_ms,avg_update_changed_pct,relative_regret_gap,mean_regret_gap,best_peak_rss_kib,best_q_p05,best_q_median,best_q_p95,best_best_q_at_max,best_best_q_at_min,best_best_q_max,best_best_q_min,best_best_regularization,best_best_train_regret,best_epoch,best_epoch_changed_pct,best_epoch_count_residual_l1,best_epoch_current_max_quantization_error,best_epoch_customization_ms,best_epoch_train_oracle_ms,best_epoch_validation_edge_f1,best_epoch_validation_edge_jaccard,best_epoch_validation_exact_match,best_epoch_validation_relative_regret,best_q_at_max,best_q_at_min,best_q_p25,best_q_p75,best_regularization,best_train_regret_improvement_pct,cache_hit_last_invocation,checkpoint_path,config_early_stop_min_delta,config_eval_path_metrics,config_metric_update,config_run_test,config_selection_metric,config_solver,early_stop_min_delta,epochs,epochs_executed,error,eval_every,eval_path_metrics,log_path,patience,returncode,train_available,train_cyclic,train_inspected,validation_available,validation_cyclic,validation_edge_precision,validation_edge_recall,validation_inspected,validation_samples
baseline_full_q1,controls,full,42,0.0001,100000,full,all,ok,False,9.78813178999917,623275,129033,0,0.093522778359,0.09352278,652235.088559,0.337542,0.591144,0.521204,0.09181897,627483.959714,1.0,1.0,3675.53,2418.43,0.0,0.0,,,0.00170381,24751.128845000057,1482332,1.0,1.0,1.0,0,0,1.0,1.0,0.0,627483.959714,0,0.0,11280417,0.0,0.0,2418.43,0.591144,0.521204,0.337542,0.09352278,0,0,1.0,1.0,0.0,0.0,False,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/model_checkpoint.json,1e-05,true,Full,false,RelativeRegret,ProjectedSubgradient,0.00001,1,1,,5,true,/tmp/edge-weight-convergence-study/runs/controls/baseline_full_q1/model_training.log,100,0,785709,162434,785709,163614,34581,0.597319,0.592036,163614,129033
control_full_eta1e4_t20,controls,full,42,0.0001,100000,full,all,ok,False,61.43004910399941,623275,129033,19,0.068263500935,0.0682635,432332.446614,0.346694,0.656391,0.57909,0.06641722,413044.562022,0.173515,1.431332,2780.6070499999996,2443.9753499999997,11.3265,58.970985,11.92263157894737,62.074721052631574,0.0018462800000000057,19287.884591999988,1482380,0.9529568293844188,1.0,1.0199399672499663,0,0,1.431332,0.173515,67.856237,413044.562022,19,0.0,5597988,0.499999,0.0,2364.976,0.656391,0.57909,0.346694,0.0682635,0,0,0.9986524929387809,1.0004715741465828,67.856237,34.174,False,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/model_checkpoint.json,1e-05,true,Full,false,RelativeRegret,ProjectedSubgradient,0.00001,20,20,,5,true,/tmp/edge-weight-convergence-study/runs/controls/control_full_eta1e4_t20/model_training.log,100,0,785709,162434,785709,163614,34581,0.670796,0.650517,163614,129033
conv_full_eta1e3,convergence_full,full,42,0.001,100000,full,all,ok,False,60.11203542899966,623275,129033,0,0.093522778359,0.09352278,652235.088559,0.337542,0.591144,0.521204,0.09181897,627483.959714,1.0,1.0,2732.16255,2405.4645,11.221599999999999,66.193665,11.81221052631579,69.67754210526316,0.00170381,24751.128845000057,1482392,1.0,1.0,1.0,0,0,1.0,1.0,0.0,627483.959714,0,70.7121,11280417,0.0,12.008,2505.509,0.591144,0.521204,0.337542,0.09352278,0,0,1.0,1.0,0.0,0.0,False,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/model_checkpoint.json,1e-05,true,Full,false,RelativeRegret,ProjectedSubgradient,0.00001,100,20,,5,true,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e3/model_training.log,4,0,785709,162434,785709,163614,34581,0.597319,0.592036,163614,129033
conv_full_eta1e4,convergence_full,full,42,0.0001,100000,full,all,ok,False,273.47800436800026,623275,129033,99,0.063574971554,0.06357497,381158.556842,0.367921,0.677356,0.602899,0.06164109,363094.066505,0.1,1.589377,2678.95484,2401.27776,11.93256,57.16105400000001,12.05309090909091,57.738438383838385,0.001933879999999992,18064.490336999996,1482388,0.9044287456659684,1.0,1.0246467025657795,0,2,1.589377,0.1,157.647723,363094.066505,99,0.0,4333741,0.499999,0.0,2354.633,0.677356,0.602899,0.367921,0.06357497,0,2,0.9949801029555827,1.0004438109222666,157.647723,42.135,False,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/model_checkpoint.json,1e-05,true,Full,false,RelativeRegret,ProjectedSubgradient,0.00001,100,100,,5,true,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta1e4/model_training.log,4,0,785709,162434,785709,163614,34581,0.691713,0.671001,163614,129033
conv_full_eta3e4,convergence_full,full,42,0.0003,100000,full,all,ok,False,272.351221212999,623275,129033,99,0.063484090822,0.06348409,339523.398169,0.371068,0.681488,0.606961,0.06133296,322081.582257,0.1,2.019888,2667.79856,2390.14554,11.6342,62.05587499999999,11.751717171717173,62.682702020202015,0.002151130000000008,17441.81591200002,1482500,0.793815271024157,1.0,1.0317520110121843,0,7,2.019888,0.1,467.417785,322081.582257,99,0.0,4997363,0.5,0.0,2374.653,0.681488,0.606961,0.371068,0.06348409,0,7,0.9807386729756,1.0002294472610262,467.417785,48.671,False,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/model_checkpoint.json,1e-05,true,Full,false,RelativeRegret,ProjectedSubgradient,0.00001,100,100,,5,true,/tmp/edge-weight-convergence-study/runs/convergence_full/conv_full_eta3e4/model_training.log,4,0,785709,162434,785709,163614,34581,0.692053,0.679015,163614,129033
